Kodas,Pavadinimas,Aprašas,"Pagrindinės užduotys","Būdingos kompetencijos"
134208,"Medicinos direktorius","Organizuoja ir kontroliuoja medicininės ir sveikatos priežiūros įgyvendinimą ir jam vadovauja. Atsako už medicininės ir sveikatos priežiūros politikos nustatymą, administravimą, klinikinės praktikos kokybės užtikrinimą, saugumą ir atitiktį įstatymams bei taisyklėms.","• planuoja, organizuoja ir koordinuoja medicininės ir sveikatos priežiūros strategiją ir politiką;• užtikrina medicininės priežiūros procesų kokybės valdymą ir tvirtina darbo reglamentus, vidaus tvarkos taisykles, pareigybių aprašus;• vadovauja medicinos personalui ir bendradarbiauja su gydytojais bei kitais darbuotojais;• atsako už pacientų informacijos saugojimą ir konfidencialumą;• užtikrina sveikatos priežiūros atitiktį įstatymams, taisyklėms ir medicinos normoms;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• įgyvendinti sveikatos priežiūros politiką;• koordinuoti veiklą sveikatos priežiūros institucijose;• saugoti įrašus apie atliktas užduotis, susijusias su atliktu darbu ir pažangos registravimu;• veiksmingai bendrauti sveikatos priežiūros srityje;• vykdyti personalo valdymo veiklą;• valdyti finansinius išteklius."
134209,"Mažosios sveikatos priežiūros įstaigos vadovas","Planuoja, organizuoja, kontroliuoja mažosios sveikatos priežiūros įstaigos veiklą ir užtikrina prisiimtų įsipareigojimų vykdymą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja sveikatos priežiūros įstaigos strateginio plano, metinių veiklos planų rengimui, juos tvirtina ir vadovauja jų įgyvendinimui;• organizuoja įmonės darbą ir jam vadovauja, dalyvauja derybose, rengia sutartis ir verslo planus, užsiima naujų rinkų paieška;• užtikrina efektyvų, laiku atliekamą ir teisingą įmonės ūkinių operacijų registravimą, finansinės apskaitos tvarkymą bei finansinių ataskaitų rengimą;• užtikrina kokybišką sveikatos priežiūros paslaugų teikimą ir sveikatos priežiūros atitiktį įstatymams, taisyklėms ir medicinos normoms;• organizuoja darbuotojų darbą ir rūpinasi jų kvalifikacijos tobulinimu;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• koordinuoti veiklą sveikatos priežiūros institucijose;• priimti strateginius verslo sprendimus;• kurti organizacinę struktūrą;• veiksmingai bendrauti sveikatos priežiūros srityje;• vykdyti personalo valdymo veiklą;• valdyti veiklos biudžetą."
134210,"Neįgaliųjų globos namų ir (ar) pensionato vadovas","Vadovauja neįgaliųjų globos namų arba pensionato veiklai, valdo biudžetą, organizuoja ir koordinuoja neįgaliųjų ar pagyvenusių žmonių priežiūrą, suteikia jiems socialinę ir medicininę priežiūrą, užtikrina saugią ir sveiką aplinką bei gerą gyvenimo kokybę. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• organizuoja ir kontroliuoja globos namų arba pensionato veiklą;• užtikrina, kad būtų teikiamos aukštos kokybės priežiūros paslaugos neįgaliesiems ar pagyvenusiems žmonėms;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę;• organizuoja ir vertina personalo darbą, nustato veiklos tikslus ir užtikrina, kad darbai būtų atliekami laiku bei efektyviai ir atitiktų visus reikalavimus bei procedūras;• bendradarbiauja su pacientais ir jų šeimos nariais, taip pat kitais sveikatos priežiūros padaliniais;• užtikrina kokybiškas neįgaliųjų arba pagyvenusių žmonių gyvenimo sąlygas ir rūpinasi jų gerinimu. ","• koordinuoti veiklą sveikatos priežiūros institucijose;• įgyvendinti sveikatos priežiūros politiką;• nustatyti kokybės užtikrinimo tikslus;• valdyti biudžetą;• vykdyti personalo valdymo veiklą;• laikytis su sveikatos priežiūra susijusių teisės aktų."
134290,"Kiti sveikatinimo paslaugų srities vadovai","Kiti sveikatinimo paslaugų srities vadovai (pavaduotojai), kurie neišvardyti 1342 pogrupyje „Sveikatinimo paslaugų srities vadovai“ ir kurie planuoja, koordinuoja ir vertina gydymo ir visuomenės sveikatos priežiūros paslaugų teikimą ligoninėse, klinikose, sveikatos priežiūros įstaigose ir panašiose organizacijose ir joms vadovauja.","• vadovauja sveikatos priežiūros įstaigos, įmonės ar organizacijos veiklai;• rengia procedūras, politikos kryptis ir veiklos standartus, skirtus medicinos, slaugos, techniniams ir administracijos darbuotojams, organizuoja jų įgyvendinimą;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę;• organizuoja ir vertina darbuotojų darbą, nustato veiklos tikslus ir užtikrina, kad darbai būtų atliekami laiku ir efektyviai, atitiktų visus reikalavimus, procedūras ir medicinines normas; • bendradarbiauja su kitais sveikatos priežiūros padaliniais ir organizacijomis;• organizuoja pasitarimus, analizuoja veiklos rodiklius ir rūpinasi jų gerinimu. ","• koordinuoti veiklą sveikatos priežiūros institucijose;• įgyvendinti sveikatos priežiūros politiką;• valdyti biudžetą;• vykdyti personalo valdymo veiklą;• laikytis su sveikatos priežiūra susijusių teisės aktų."
134301,"Pagyvenusių žmonių slaugos ir (ar) socialinių paslaugų įstaigos vadovas","Vadovauja pagyvenusių žmonių priežiūros ir socialinių paslaugų teikimo įstaigai ir atsako už strateginių sprendimų priėmimą, tinkamą ir kvalifikuotą pagyvenusių žmonių slaugos priežiūros organizavimą bei aukštą paslaugų kokybę. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• planuoja, organizuoja pagyvenusių žmonių slaugos ir socialinių paslaugų įstaigos veiklą ir jai vadovauja, nustato veiklos tikslus ir veiklos vertinimo kriterijus;• užtikrina aukštos kokybės priežiūros ir socialinių paslaugų teikimą pagyvenusiems žmonėms ir atsako, kad sveikatos priežiūros srityje būtų laikomasi teisės aktų, medicinos normų ir etikos principų;• organizuoja ir vertina personalo darbą, užtikrina, kad darbai būtų atliekami laiku ir efektyviai, atitiktų visus reikalavimus ir procedūras;• bendradarbiauja su sveikatinimo ir paramos paslaugų teikėjais, tarnybomis ir finansavimo įstaigomis bei kitais sveikatos priežiūros padaliniais siekdamas koordinuoti paslaugų teikimą;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę;• atstovauja įstaigai derybose, renginiuose ir viešuose projektų svarstymuose. ","• nustatyti organizacijos politiką;• peržiūrėti socialinių paslaugų planą;• valdyti biudžetą;• vykdyti personalo valdymo veiklą;• stebėti, kaip laikomasi socialinių paslaugų teisės aktų;• daryti įtaką politikos kūrėjams socialinių paslaugų klausimais."
134302,"Socialinio darbo įstaigos padalinio vadovas (slaugos ir socialinės paslaugos pagyvenusiems žmonėms)","Vadovauja įstaigos padaliniui, teikiančiam slaugos ir socialines paslaugas pagyvenusiems žmonėms. Atlieka administracines ir vadovavimo funkcijas, bendrauja su pacientais ir jų šeimomis, užtikrina, kad teikiamos paslaugos būtų aukštos kokybės ir atitiktų teisės aktų reikalavimus. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja slaugos ir socialinių paslaugų teikimo įstaigos padalinio metinių veiklos planų rengimui, juos tvirtina ir vadovauja jų įgyvendinimui;• užtikrina kokybišką slaugos ir socialinių paslaugų teikimą bei atitiktį įstatymams, taisyklėms ir medicinos normoms;• bendrauja su pacientais ir jų šeimomis, kad užtikrintų, jog jų poreikiai ir lūkesčiai būtų įgyvendinti kokybiškai;• organizuoja ir vertina personalo darbą, užtikrina, kad darbai būtų atliekami laiku ir efektyviai, atitiktų visus reikalavimus ir procedūras;• bendradarbiauja su sveikatinimo ir paramos paslaugų teikėjais, tarnybomis ir finansavimo įstaigomis bei kitais slaugos ir socialinių paslaugų padaliniais siekiant koordinuoti paslaugų teikimą;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• laikytis organizacinių gairių;• peržiūrėti socialinių paslaugų planą;• kurti organizacinę struktūrą;• vykdyti personalo valdymo veiklą;• stebėti, kaip laikomasi socialinių paslaugų teisės aktų;• valdyti veiklos biudžetą."
134303,"Mažosios socialinių paslaugų įstaigos vadovas (slaugos ir socialinės paslaugos pagyvenusiems žmonėms)","Planuoja, organizuoja ir kontroliuoja mažosios socialinių paslaugų įstaigos veiklą ir užtikrina prisiimtų įsipareigojimų vykdymą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja sveikatos priežiūros įstaigos strateginio plano, metinių veiklos planų rengimui, juos tvirtina bei vadovauja jų įgyvendinimui;• organizuoja ir vadovauja įmonės darbui, dalyvauja derybose, rengia sutartis ir verslo planus, užsiima naujų rinkų paieška;• užtikrina efektyvų, laiku atliekamą ir teisingą įmonės ūkinių operacijų registravimą, finansinės apskaitos tvarkymą bei finansinių ataskaitų rengimą;• užtikrina kokybišką socialinių paslaugų teikimą bei sveikatos priežiūros atitiktį įstatymams, taisyklėms ir medicinos normoms;• organizuoja darbuotojų darbą ir rūpinasi jų kvalifikacijos tobulinimu;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• priimti sprendimus socialinio darbo srityje;• peržiūrėti socialinių paslaugų planą;• įvertinti socialinio darbo programos poveikį;• valdyti biudžetą;• vykdyti personalo valdymo veiklą;• laikytis su socialinėmis paslaugomis susijusių teisės aktų."
134390,"Kiti pagyvenusių žmonių slaugos ir socialinių paslaugų srities vadovai","Kiti pagyvenusių žmonių slaugos ir socialinių paslaugų srities vadovai (pavaduotojai), kurie neišvardyti 1343 pogrupyje „Pagyvenusių žmonių slaugos ir socialinių paslaugų srities vadovai“ ir kurie planuoja, koordinuoja ir vertina apgyvendinimo ir asmeninės priežiūros paslaugų teikimą asmenims ir šeimoms, kuriems kyla tokių paslaugų poreikis dėl senyvo amžiaus, ir jam vadovauja.","• vadovauja slaugos ir socialinių paslaugų įstaigos, įmonės ar organizacijos veiklai;• rengia procedūras, politikos kryptis ir veiklos standartus, skirtus medicinos, slaugos, techniniams ir administracijos darbuotojams, organizuoja jų įgyvendinimą;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę;• organizuoja ir vertina darbuotojų darbą, nustato veiklos tikslus ir užtikrina, kad darbai būtų atliekami laiku ir efektyviai, atitiktų visus reikalavimus, procedūras ir medicinines normas; • bendradarbiauja su kitais slaugos ir socialinių paslaugų padaliniais ir organizacijomis;• koordinuoja paramos programas ir priežiūros paslaugas pagyvenusiems žmonėms, taip pat organizuoja pasitarimus, analizuoja veiklos rodiklius ir rūpinasi jų gerinimu. ","• nustatyti organizacijos politiką;• peržiūrėti socialinių paslaugų planą;• valdyti biudžetą;• vykdyti personalo valdymo veiklą;• stebėti, kaip laikomasi socialinių paslaugų teisės aktų;• daryti įtaką politikos kūrėjams socialinių paslaugų klausimais."
134401,"Socialinės paramos (padalinio) vadovas","Vadovauja socialinės paramos padalinio veiklai ir koordinuoja socialinės paramos programų, kurios teikiamos skurstantiems, benamiams ir socialiai pažeidžiamiems asmenims, vykdymą. Atsako už padalinio biudžeto, personalo valdymą ir programų efektyvumo vertinimą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• planuoja, organizuoja socialinių paramos programų vykdymą ir jam vadovauja;• atsako už išteklių paramai, būstui ir kitoms socialinėms paslaugoms teikti stebėseną, vertinimą ir tobulinimą;• atlieka personalo valdymo funkcijas, organizuoja ir vertina personalo darbą, įskaitant darbuotojų atranką, mokymus, ir užtikrina, kad darbai būtų atliekami laiku ir efektyviai;• bendradarbiauja su kitais socialinės paramos teikėjais siekiant koordinuoti paslaugų teikimą;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę;• užtikrina, kad padalinys laikytųsi visų teisės aktų, susijusių su socialine parama. ","• laikytis organizacinių gairių;• įvertinti socialinių paslaugų vartotojų padėtį;• konsultuoti socialinių išmokų klausimais;• laikytis su socialinėmis paslaugomis susijusių teisės aktų;• vykdyti personalo valdymo veiklą;• tvarkyti socialinių paslaugų programų biudžetą."
134402,"Bendruomenės centro vadovas","Vadovauja bendruomenės centro veiklai, planuoja ir valdo veiklos programas, organizuoja renginius, koordinuoja komandą ir užtikrina, kad centro veikla atitiktų reikalavimus. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• planuoja, organizuoja bendruomenės centro veiklą ir jai vadovauja, rengia veiklos kryptis, vykdo jų stebėseną ir įgyvendinimą;• koordinuoja darbuotojų darbą ir užtikrina, kad darbai būtų atliekami laiku ir efektyviai bei atitiktų reikalavimus;• užtikrina, kad centras atitiktų visus reikalavimus, susijusius su saugumu, higiena ir priežiūra;• bendradarbiauja su vietos valdžios institucijomis, kitomis organizacijomis ir savanoriais;• rūpinasi visais reikalingais dokumentais, ataskaitomis ir įgaliojimais;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• kurti organizacinę struktūrą;• analizuoti bendruomenės poreikius;• teikti socialines paslaugas skirtingose kultūrinėse bendruomenėse;• palaikyti ryšius su vietos valdžios institucijomis;• vykdyti personalo valdymo veiklą;• valdyti veiklos biudžetą."
134403,"Šeimos centro vadovas","Vadovauja šeimos centro veiklai ir užtikrina, kad vaikams, augantiems šeimose, kurioms yra teikiama socialinė pagalba, būtų garantuotas kokybiškas gyvenimo lygis ir kad globojamam (rūpinamam) ir laikinai centre apgyvendintam vaikui būtų suteiktos kokybiškos ugdymo ir socialinės paslaugos. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja šeimos centro veiklos planavimui, organizavimui ir įgyvendinimui;• užtikrina kokybišką socialinių paslaugų teikimą ir atitiktį įstatymams ir teisės aktams;• bendrauja su tėvais ar globėjais, kad užtikrintų, jog jų poreikiai ir lūkesčiai būtų įgyvendinti kokybiškai;• organizuoja ir vertina personalo darbą, užtikrina, kad darbai būtų atliekami laiku ir efektyviai, atitiktų visus reikalavimus ir procedūras;• bendradarbiauja su bendruomenėmis, tarnybomis ir kitomis organizacijomis siekiant koordinuoti paslaugų teikimą;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• laikytis organizacinių gairių;• parengti pedagoginę koncepciją• peržiūrėti socialinių paslaugų planą;• palaikyti ryšius su vietos valdžios institucijomis;• vykdyti personalo valdymo veiklą;• stebėti, kaip laikomasi socialinių paslaugų teisės aktų;• valdyti veiklos biudžetą."
134404,"Mažosios socialinių paslaugų įstaigos vadovas (išskyrus slaugos ir socialines paslaugas pagyvenusiems žmonėms)","Planuoja, organizuoja ir kontroliuoja mažosios socialinių paslaugų įstaigos veiklą ir užtikrina prisiimtų įsipareigojimų vykdymą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja socialinių paslaugų srities įstaigos strateginio plano, metinių veiklos planų rengimui, juos tvirtina ir vadovauja jų įgyvendinimui;• organizuoja įmonės darbą ir jam vadovauja, dalyvauja derybose, rengia sutartis ir verslo planus bei užsiima naujų rinkų paieška;• užtikrina efektyvų, laiku atliekamą ir teisingą įmonės ūkinių operacijų registravimą, finansinės apskaitos tvarkymą bei finansinių ataskaitų rengimą;• užtikrina kokybišką socialinių paslaugų teikimą ir sveikatos priežiūros atitiktį įstatymams, taisyklėms ir medicinos normoms;• organizuoja darbuotojų darbą ir rūpinasi jų kvalifikacijos tobulinimu;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• priimti sprendimus socialinio darbo srityje;• peržiūrėti socialinių paslaugų planą;• įvertinti socialinio darbo programos poveikį;• valdyti biudžetą;• vykdyti personalo valdymo veiklą;• laikytis su socialinėmis paslaugomis susijusių teisės aktų."
134405,"Socialinių paslaugų (padalinio) vadovas","Vadovauja socialinių paslaugų įstaigos veiklai ir užtikrina, kad socialinės paslaugos būtų teikiamos kokybiškai ir kvalifikuotai bei atitiktų teisės aktų reikalavimus. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• planuoja, organizuoja ir vadovauja socialinių paslaugų įstaigos veiklai;• atsako už išteklių paramai, būstui ir kitoms socialinėms paslaugoms teikti stebėseną, vertinimą ir tobulinimą;• atlieka personalo valdymo funkcijas, organizuoja ir vertina personalo darbą, įskaitant darbuotojų atranką, mokymus, ir užtikrina, kad darbai būtų atliekami laiku ir efektyviai;• bendradarbiauja su kitais socialinės paramos teikėjais siekiant koordinuoti paslaugų teikimą;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę;• užtikrina, kad įstaiga savo veikloje laikytųsi visų teisės aktų, susijusių su socialine parama. ","• laikytis organizacinių gairių;• pateikti informaciją apie socialinį vystymąsi;• daryti įtaką politikos kūrėjams socialinių paslaugų klausimais;• laikytis su socialinėmis paslaugomis susijusių teisės aktų;• vykdyti personalo valdymo veiklą;• administruoti valstybės finansavimą."
134490,"Kiti socialinės paramos vadovai","Kiti socialinės paramos vadovai (pavaduotojai), kurie neišvardyti 1344 pogrupyje „Socialinės paramos vadovai“ ir kurie planuoja, koordinuoja tokių socialinių ir bendruomenės paslaugų, kaip piniginė parama, pagalba šeimoms, vaikams skirtos paslaugos, programų ir kitų bendruomenės programų bei paslaugų teikimą ir vadovauja šiai veiklai.","• vadovauja socialinės paramos įstaigai ar centrui ir planuoja, organizuoja ir koordinuoja jo veiklą;• atlieka išteklių paramai, būstui ir kitoms socialinėms paslaugoms teikti stebėseną ir vertinimą;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę;• organizuoja ir vertina darbuotojų darbą, nustato veiklos tikslus ir užtikrina, kad darbai būtų atliekami laiku ir efektyviai, taip pat atitiktų visus standartus ir reikalavimus; • bendradarbiauja su kitais sveikatinimo ir paramos paslaugų teikėjais, tarybomis ir finansuojančiomis įstaigomis;• atstovauja įstaigai derybose, renginiuose, seminaruose, viešuose projektų svarstymuose ir forumuose. ","• nustatyti organizacijos politiką;• priimti sprendimus socialinio darbo srityje;• valdyti biudžetą;• vykdyti personalo valdymo veiklą;• stebėti, kaip laikomasi socialinių paslaugų teisės aktų;• daryti įtaką politikos kūrėjams socialinių paslaugų klausimais."
134501,"Pradinio, pagrindinio ar vidurinio ugdymo įstaigos vadovas","Atsako už švietimo įstaigos administravimą ir veiklos organizavimą, užtikrina, kad ugdymo programos atitiktų joms taikomus nacionalinius ir tarptautinius reikalavimus. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja įstaigos strateginio plano, metinio veiklos plano, ugdymo programų rengimui, juos tvirtina ir vadovauja jų vykdymui;• įgyvendina sistemų ir procedūrų, skirtų mokyklos veiklai ir mokinių skaičiui, stebėseną;• vadovauja mokytojams, mokslo ir administracijos darbuotojams, mokiniams ir rūpinasi darbuotojų profesiniu tobulėjimu;• leidžia įsakymus, sudaro teisės aktų nustatytas komisijas, darbo grupes ir užtikrina metodinės veiklos organizavimą;• vadovaudamasis teisės aktais organizuoja ugdymo procesą, nustato mokinių teises, pareigas ir atsakomybes, užtikrina saugias mokymosi sąlygas;• valdo veiklos biudžetą, įskaitant biudžeto planavimą ir rinkliavų administravimą, užtikrina išlaidų kontrolę. ","• nustatyti organizacijos politiką;• bendradarbiauti su švietimo srities specialistais;• stebėti švietimo sektoriaus pokyčius;• valdyti mokyklos biudžetą;• vykdyti personalo valdymo veiklą."
134502,"Profesinio mokymo įstaigos vadovas","Atsako už profesinio mokymo įstaigos administravimą ir veiklos organizavimą, užtikrina, kad mokymo programos atitiktų joms taikomus nacionalinius ir tarptautinius reikalavimus. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja įstaigos strateginio plano, metinio veiklos plano, mokymo programų rengimui, juos tvirtina ir vadovauja jų vykdymui;• užtikrina administracinės veiklos kontrolę;• leidžia įsakymus, sudaro teisės aktų nustatytas komisijas ir darbo grupes;• vadovaudamasis teisės aktais organizuoja mokymo procesą, nustato mokinių teises, pareigas ir atsakomybes, užtikrina saugias mokymosi sąlygas;• vadovauja mokytojams, administracijos darbuotojams ir mokiniams, rūpinasi darbuotojų profesiniu tobulėjimu;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę. ","• nustatyti organizacijos politiką;• bendradarbiauti su švietimo srities specialistais;• stebėti švietimo sektoriaus pokyčius;• valdyti mokyklos biudžetą;• vykdyti personalo valdymo veiklą."
134503,"Švietimo padalinio vadovas","Vadovauja švietimo padaliniui, koordinuoja ir administruoja ugdymo ir mokymo programas įstaigoje, atsako už švietimo politikos rengimą, ugdymo ir mokymo programų kokybės užtikrinimą ir įgyvendinimą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• dalyvauja rengiant švietimo politiką ir plėtoja ugdymo ir mokymo programų kokybę atsižvelgdamas į organizacijos poreikius ir reikalavimus;• užtikrina, kad švietimo veikla būtų vykdoma pagal standartus ir teisės aktus;• organizuoja ir kontroliuoja ugdymo ir mokymo programų vykdymą ir rengia ataskaitas;• rengia ir vykdo pamokų stebėjimo planus ir bendrauja su kitais padaliniais, siekdamas užtikrinti veiklos efektyvumą ir kokybę;• valdo veiklos biudžetą, skirtą ugdymo ir mokymo programoms vykdyti, ir užtikrina išlaidų kontrolę;• vykdo personalo valdymo funkcijas. ","• nustatyti organizacijos politiką;• analizuoti ugdymo ir mokymo programas;• stebėti švietimo sektoriaus pokyčius;• bendradarbiauti su švietimo srities specialistais;• vykdyti personalo valdymo veiklą;• valdyti biudžetą."
134504,"Aukštosios mokyklos padalinio vadovas","Vadovauja aukštosios mokyklos padaliniui, koordinuoja ir organizuoja mokslo ir studijų procesą, taip pat leidžia įsakymus ir užtikrina, kad visi padalinio veiksmai būtų suderinti su aukštosios mokyklos misija ir tikslais. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• koordinuoja studijų programų veiklą ir užtikrina, kad jos atitiktų aukštosios mokyklos ir padalinio tikslus bei reikalavimus; • vadovauja administracijos ir valdymo procesams ir užtikrina, kad padalinys laikytųsi visų reikiamų teisės aktų ir taisyklių;• atsako už senato ir rektorato nutarimų įgyvendinimą;• valdo veiklos biudžetą ir užtikrina išlaidų kontrolę;• vadovauja dėstytojams, mokslo ir administracijos darbuotojams, rūpinasi darbuotojų profesiniu tobulėjimu;• bendradarbiauja su kitais padaliniais, aukštosiomis mokyklomis ir partneriais ir atstovauja aukštajai mokyklai visuomenėje. ","• valdyti aukštosios mokyklos padalinį;• teikti informaciją apie studijų programas;• bendradarbiauti su švietimo srities specialistais;• vykdyti personalo valdymo veiklą;• valdyti biudžetą."
134505,"Mažosios švietimo įstaigos vadovas (išskyrus ikimokyklinį ir priešmokyklinį ugdymą, vaikų dienos priežiūrą)","Organizuoja, kontroliuoja mažosios švietimo įstaigos veiklą ir jai vadovauja, taip pat koordinuoja pedagoginį procesą ir užtikrina, kad vaikams būtų teikiamas aukštos kokybės ugdymas ir priežiūra. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja įstaigos darbui, dalyvauja derybose, rengia sutartis ir verslo planus, užtikrina finansinį stabilumą;• vysto ir įgyvendina ugdymo koncepcijas, projektus ir programas;• užtikrina, kad būtų laikomasi mokslo programų ir teisės aktų reikalavimų;• užtikrina efektyvų, laiku atliekamą ir tinkamą įstaigos ūkinių operacijų registravimą, finansinės apskaitos tvarkymą bei finansinių ataskaitų rengimą;• organizuoja darbuotojų darbą ir rūpinasi jų kvalifikacijos tobulinimu;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• priimti strateginius verslo sprendimus;• kurti organizacinę struktūrą;• planuoti vidutinės trukmės ir ilgalaikius tikslus;• bendradarbiauti su švietimo srities specialistais;• vykdyti personalo valdymo veiklą;• valdyti finansinius išteklius."
134590,"Kiti švietimo srities vadovai","Kiti švietimo srities vadovai (pavaduotojai), kurie neišvardyti 1345 pogrupyje „Švietimo srities vadovai“ ir kurie koordinuoja ir vertina švietimo įstaigų, pradinio, pagrindinio ir vidurinio ugdymo mokyklų, kolegijų ir universitetų fakultetų bei katedrų ir kitų švietimo įstaigų švietimo ir administravimo paslaugas ir vadovauja šioms įstaigoms.","• rengia ugdymo, mokymo ir studijų programas ir organizuoja ugdymo ir studijų procesą pagal švietimo institucijų ir valdymo organų nustatytą sistemą;• įgyvendina sistemų ir procedūrų, skirtų švietimo įstaigos veiklai ir mokinių skaičiui, stebėjimą;• vertina mokytojų ir dėstytojų darbą, dalyvaudami užsiėmimuose, stebėdami mokymo metodų taikymą ir nagrinėdami mokymosi medžiagą;• vadovauja mokytojams, dėstytojams, mokslo ir administracijos darbuotojams, taip pat besimokantiems asmenims ir rūpinasi darbuotojų profesiniu tobulėjimu;• rengia drausmės kodeksą ir užtikrina jo laikymąsi, siekdami besimokantiems asmenims ir mokytojams bei dėstytojams sukurti saugią ir palankią aplinką;• sudaro ir valdo veiklos biudžetą, užtikrina išlaidų kontrolę. ","• nustatyti organizacijos politiką;• analizuoti ugdymo, mokymo ir studijų programas;• stebėti švietimo sektoriaus pokyčius;• vadovauti darbuotojams;• valdyti veiklos biudžetą."
134601,"Verslo paslaugų padalinio vadovas (finansinės ir draudimo paslaugos)","Efektyviai vadovauja finansinių ir draudimo paslaugų padaliniui. Planuoja ir valdo kasdienę veiklą, optimizuoja išteklių panaudojimą, tvarko darbo procesus ir užtikrina efektyvų operatyvinį veiklos vykdymą.","• plečia ir vykdo veiklos strategijas, siekia finansinio stabilumo ir augimo; • valdo finansinių ir draudimo paslaugų veiklą, stebi klientų poreikius; • koordinuoja personalo darbą, užtikrina tinkamą komandos darbą; • analizuoja rinkos tendencijas, konkurentų veiklą ir pritaiko strategijas; • užtikrina, kad veikla atitiktų teisės aktus ir veiklos reglamentavimo reikalavimus.","• kurti ir įgyvendinti efektyvias verslo strategijas, vadovauti komandai, priimti sprendimus; • vertinti finansinius duomenis, analizuoti pelningumą, likvidumą, planuoti ir valdyti finansinius išteklius; • plėtoti ir įgyvendinti rinkodaros strategijas, kurti verslo modelius ir inovacijas; • derinti interesus, spręsti konfliktus ir užtikrinti tarpusavio supratimą; • užtikrinti, kad veikla atitiktų galiojančius teisės aktus."
134602,"Finansinių paslaugų (padalinio) vadovas","Atsako už organizacijos finansinių veiklų valdymą, strateginį finansų planavimą ir sprendimų priėmimą, užtikrina finansinius tvarumo ir augimo tikslus.","• kuria ir įgyvendina organizacijos finansinę strategiją; • valdo kasdienius finansinius procesus, įskaitant apskaitą ir ataskaitų rengimą; • analizuoja finansinius duomenis ir teikia vadovams rekomendacijas dėl pelningumo ir efektyvumo gerinimo; • koordinuoja investicijas, rizikos valdymą ir kapitalo struktūrą; • užtikrina atitiktį finansiniams teisės aktams ir reglamentavimui.","• analizuoti sudėtingus finansinius duomenis, identifikuoti tendencijas ir rizikos veiksnius, parengti ateities veiklos prognozes; • suprasti finansinės apskaitos principus ir technikas; • priimti finansinius sprendimus, atitinkančius bendrąją organizacijos strategiją; • išlaikyti finansinį stabilumą ir pasiekti organizacijos tikslus net nepalankiomis sąlygomis; • integruoti finansines perspektyvas į visą organizacijos veiklą.  "
134603,"Draudimo paslaugų (padalinio) vadovas","Atsako už draudimo padalinio valdymą, vadovavimą darbuotojams, klientų aptarnavimą ir verslo rezultatų pasiekimą.","• plečia ir įgyvendina draudimo padalinio verslo strategiją; • organizuoja darbuotojus ir jiems vadovauja, užtikrina efektyvų komandinį darbą; • rūpinasi klientų aptarnavimu, suteikia jiems informaciją apie draudimo paslaugas; • stebi ir analizuoja draudimo rinkos tendencijas bei konkurentų veiklą; • kontroliuoja draudimo sutarčių ir finansinių ataskaitų rengimą","• parengti ilgalaikę verslo strategiją, numatyti rinkos tendencijas ir prisitaikyti prie kintančių sąlygų; • motyvuoti, valdyti ir plėtoti darbuotojų komandas, skatinti bendradarbiavimą ir skaidrų informacijos srautą organizacijoje; • išmanyti draudimo rinką, įvairius draudimo produktus, rizikos valdymą ir draudimo teises; • bendrauti su klientais, suprasti jų poreikius ir suteikti tinkamą draudimo sprendimą; • stebėti organizacijos finansinę veiklą, nustatyti pelningumo ir efektyvumo rodiklius ir priimti sprendimus pagal šiuos duomenis."
